#Session	ID	Occasion	Detector
Coutada11_2021	HYE_U005	85	C11_2021_Cam10
Coutada11_2021	HYE_M001	86	C11_2021_Cam10
Coutada11_2021	HYE_U004	90	C11_2021_Cam10
Coutada11_2021	HYE_M008	90	C11_2021_Cam10
Coutada11_2021	HYE_U005	90	C11_2021_Cam10
Coutada11_2021	HYE_M001	91	C11_2021_Cam10
Coutada11_2021	HYE_U005	92	C11_2021_Cam10
Coutada11_2021	HYE_U005	95	C11_2021_Cam10
Coutada11_2021	HYE_U005	106	C11_2021_Cam10
Coutada11_2021	HYE_F002	112	C11_2021_Cam10
Coutada11_2021	HYE_M001	124	C11_2021_Cam10
Coutada11_2021	HYE_U004	124	C11_2021_Cam10
Coutada11_2021	HYE_M001	128	C11_2021_Cam10
Coutada11_2021	HYE_U005	129	C11_2021_Cam10
Coutada11_2021	HYE_U004	134	C11_2021_Cam10
Coutada11_2021	HYE_M008	134	C11_2021_Cam10
Coutada11_2021	HYE_F002	138	C11_2021_Cam10
Coutada11_2021	HYE_U004	138	C11_2021_Cam10
Coutada11_2021	HYE_U007	140	C11_2021_Cam10
Coutada11_2021	HYE_U006	72	C11_2021_Cam11
Coutada11_2021	HYE_M001	74	C11_2021_Cam11
Coutada11_2021	HYE_F002	74	C11_2021_Cam11
Coutada11_2021	HYE_U004	75	C11_2021_Cam11
Coutada11_2021	HYE_M001	75	C11_2021_Cam11
Coutada11_2021	HYE_M001	82	C11_2021_Cam11
Coutada11_2021	HYE_U007	82	C11_2021_Cam11
Coutada11_2021	HYE_U003	82	C11_2021_Cam11
Coutada11_2021	HYE_U021	90	C11_2021_Cam11
Coutada11_2021	HYE_M001	98	C11_2021_Cam11
Coutada11_2021	HYE_U006	98	C11_2021_Cam11
Coutada11_2021	HYE_M008	98	C11_2021_Cam11
Coutada11_2021	HYE_F023	113	C11_2021_Cam11
Coutada11_2021	HYE_U022	113	C11_2021_Cam11
Coutada11_2021	HYE_U030	113	C11_2021_Cam11
Coutada11_2021	HYE_F023	118	C11_2021_Cam11
Coutada11_2021	HYE_U021	118	C11_2021_Cam11
Coutada11_2021	HYE_U025	118	C11_2021_Cam11
Coutada11_2021	HYE_U022	118	C11_2021_Cam11
Coutada11_2021	HYE_U022	124	C11_2021_Cam11
Coutada11_2021	HYE_U022	128	C11_2021_Cam11
Coutada11_2021	HYE_U027	128	C11_2021_Cam11
Coutada11_2021	HYE_U021	90	C11_2021_Cam12
